ISBN,Title,CurrentPrice,AverageBookPrice,PreviousPrice
978-1-4842-3017-6,Pro C# 7,39.99,39.99,NULL
978-1-4842-6605-2,Beginning T-SQL,NULL,NULL,NULL
978-1-491-98765-0,C# 7.0,59.99,69.99,NULL
978-1-491-98765-0,C# 7.0,79.99,69.99,59.99
978-1-529-35541-3,The Institute,89.99,89.99,NULL
978-1-61729-627-1,Unit Testing,49.99,54.99,NULL
978-1-61729-627-1,Unit Testing,59.99,54.99,49.99
978-87-02-08254-8,Mange sære ting for,NULL,NULL,NULL
978-87-02-30420-6,Fremtidsspejl,NULL,NULL,NULL
978-87-400-451-30,Natrium Chlorid,NULL,NULL,NULL
978-87-400-6521-3,Blodtørst,NULL,NULL,NULL
